# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 5.000000e+01
# lRef        : 1.000000e+00
# Aref        : 2.500000e+01
# CofR        : (1.000000e+00 1.000000e+00 1.000000e+00)
#
# Time        	Cd            
1             	2.226210e+00
2             	3.019223e+00
3             	2.427964e+00
4             	1.275396e+00
5             	3.520382e-01
6             	3.665359e-02
7             	2.428247e-01
8             	6.563444e-01
9             	9.964217e-01
10            	99.134239e+00
11            	1.083201e+00
12            	9.315562e-01
13            	7.777921e-01
14            	6.893629e-01
15            	6.825358e-01
16            	7.312901e-01
17            	7.969622e-01
18            	8.447505e-01
19            	15.572283e-01
20            	8.372022e-01
21            	17.006580e-01
22            	7.694020e-01
23            	7.580799e-01
24            	7.682681e-01
25            	7.904820e-01
26            	8.104303e-01
27            	8.181014e-01
28            	8.112026e-01
29            	7.948592e-01
30            	7.772553e-01
31            	7.653458e-01
32            	7.610484e-01
33            	7.614178e-01
34            	7.610409e-01
35            	7.561230e-01
36            	78.467440e-01
37            	7.353334e-01
38            	7.249958e-01
39            	7.173511e-01
40            	7.131332e-01
41            	7.115139e-01
42            	7.101461e-01
43            	7.080149e-01
44            	7.045271e-01
45            	7.002506e-01
46            	6.964523e-01
47            	6.941350e-01
48            	6.930469e-01
49            	6.924908e-01
50            	6.919187e-01
