# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	DILUPBiCGStab	1.000000e+00	3.673430e-02	1	1.000000e+00	3.313300e-02	1	1.000000e+00	3.592060e-02	1	false	DICPCG	1.000000e+00	8.823310e-03	80	true
2             	DILUPBiCGStab	4.693740e-01	2.525850e-02	1	5.424520e-01	3.324280e-02	1	6.013800e-01	3.587430e-02	1	false	DICPCG	4.040200e-01	3.724030e-03	77	true
3             	DILUPBiCGStab	2.850220e-01	1.613600e-02	1	2.600670e-01	1.578350e-02	1	3.102370e-01	1.807020e-02	1	false	DICPCG	4.617420e-01	3.980140e-03	77	true
4             	DILUPBiCGStab	1.354880e-01	7.350090e-03	1	1.132290e-01	6.453140e-03	1	1.352430e-01	7.421730e-03	1	false	DICPCG	5.718650e-01	5.596990e-03	77	true
5             	DILUPBiCGStab	6.352590e-02	3.322750e-03	1	5.713910e-02	3.228330e-03	1	6.774730e-02	3.730750e-03	1	false	DICPCG	4.267140e-01	3.334790e-03	77	true
6             	DILUPBiCGStab	8.092340e-02	4.451550e-03	1	7.921800e-02	4.865210e-03	1	1.174250e-01	6.862370e-03	1	false	DICPCG	3.695890e-01	3.565060e-03	71	true
7             	DILUPBiCGStab	8.145120e-02	4.628230e-03	1	7.937340e-02	4.934730e-03	1	1.201820e-01	6.931110e-03	1	false	DICPCG	4.031120e-01	3.726690e-03	75	true
8             	DILUPBiCGStab	6.461890e-02	3.570570e-03	1	5.783940e-02	3.430570e-03	1	7.368220e-02	4.061150e-03	1	false	DICPCG	4.699570e-01	4.269500e-03	76	true
9             	DILUPBiCGStab	6.739010e-02	3.643640e-03	1	5.537740e-02	3.216520e-03	1	7.646830e-02	4.275420e-03	1	false	DICPCG	4.313400e-01	3.701800e-03	75	true
10            	DILUPBiCGStab	6.960340e-02	3.690310e-03	1	5.753120e-02	3.372070e-03	1	8.551480e-02	4.764220e-03	1	false	DICPCG	4.150120e-01	3.967980e-03	72	true
11            	DILUPBiCGStab	5.450770e-02	2.827000e-03	1	4.537000e-02	2.616280e-03	1	6.443850e-02	3.475830e-03	1	false	DICPCG	4.490280e-01	4.411730e-03	74	true
12            	DILUPBiCGStab	3.876810e-02	2.030350e-03	1	3.495100e-02	1.999180e-03	1	4.181420e-02	2.260450e-03	1	false	DICPCG	3.670090e-01	3.567820e-03	74	true
13            	DILUPBiCGStab	3.598220e-02	1.997270e-03	1	3.675720e-02	2.097450e-03	1	4.096200e-02	2.275310e-03	1	false	DICPCG	2.971690e-01	2.945830e-03	47	true
